File,Operator,1st Choice School,Grade,N,N Hartford,N Suburban,School,Column
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,Betances Early Reading Lab Magnet,K,51,26,25,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,Betances Early Reading Lab Magnet,1,21,11,10,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,Betances Early Reading Lab Magnet,2,26,16,10,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,Betances Early Reading Lab Magnet,3,15,,,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,Betances STEM Magnet,4,80,36,44,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,Betances STEM Magnet,5,31,13,18,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,Betances STEM Magnet,6,14,8,6,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,Betances STEM Magnet,7,21,12,9,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,Betances STEM Magnet,8,9,,,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,Breakthrough II Magnet,PK3,32,15,17,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,Breakthrough II Magnet,PK4,29,15,14,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,Breakthrough II Magnet,K,42,33,9,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,Breakthrough II Magnet,1,18,12,6,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,Breakthrough II Magnet,2,9,,,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,Breakthrough II Magnet,3,24,18,6,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,Breakthrough II Magnet,4,14,,,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,Breakthrough II Magnet,5,18,11,7,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,Breakthrough II Magnet,6,,,,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,Breakthrough II Magnet,7,,,,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,Breakthrough II Magnet,8,,,,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,"Breakthrough Magnet, South Campus",PK3,77,41,36,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,"Breakthrough Magnet, South Campus",PK4,47,27,20,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,"Breakthrough Magnet, South Campus",K,53,36,17,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,"Breakthrough Magnet, South Campus",1,26,14,12,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,"Breakthrough Magnet, South Campus",2,32,17,15,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,"Breakthrough Magnet, South Campus",3,36,28,8,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,"Breakthrough Magnet, South Campus",4,33,22,11,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,"Breakthrough Magnet, South Campus",5,32,17,15,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,"Breakthrough Magnet, South Campus",6,9,,,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,"Breakthrough Magnet, South Campus",7,11,,,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,"Breakthrough Magnet, South Campus",8,,,,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,Capital Community College Magnet Academy,11,30,9,21,,
