file,grade,n_apps,n_apps_hartford,n_apps_suburban,n_offers,n_offers_hartford,n_offers_suburban,operator,school
apps,8,30.0,16,14.0,,,,HPS,Capital Prep - Upper School Program
apps,9,73.0,38,35.0,,,,HPS,Capital Prep - Upper School Program
apps,10,28.0,14,14.0,,,,HPS,Capital Prep - Upper School Program
apps,11,13.0,,,,,,RPS,Capital Prep - Upper School Program
apps,12,8.0,,,,,,HPS,Capital Prep - Upper School Program
apps,6,46.0,22,24.0,,,,HPS,Classical Magnet
apps,7,29.0,9,20.0,,,,HPS,Classical Magnet
apps,8,22.0,12,10.0,,,,HPS,Classical Magnet
apps,9,53.0,39,14.0,,,,HPS,Classical Magnet
apps,10,9.0,,,,,,RPS,Classical Magnet
apps,11,13.0,,,,,,HPS,Classical Magnet
apps,12,,,,,,,HPS,Classical Magnet
apps,PK4,101.0,40,61.0,,,,HPS,Environmental Sciences @ Mary M. Hooker
apps,K,49.0,23,26.0,,,,HPS,Environmental Sciences @ Mary M. Hooker
apps,1,16.0,7,9.0,,,,HPS,Environmental Sciences @ Mary M. Hooker
apps,2,38.0,20,18.0,,,,HPS,Environmental Sciences @ Mary M. Hooker
apps,3,39.0,21,18.0,,,,HPS,Environmental Sciences @ Mary M. Hooker
apps,4,43.0,31,12.0,,,,HPS,Environmental Sciences @ Mary M. Hooker
apps,5,43.0,22,21.0,,,,HPS,Environmental Sciences @ Mary M. Hooker
apps,6,28.0,19,9.0,,,,HPS,Environmental Sciences @ Mary M. Hooker
apps,7,16.0,9,7.0,,,,HPS,Environmental Sciences @ Mary M. Hooker
apps,8,7.0,,,,,,HPS,Environmental Sciences @ Mary M. Hooker
apps,9,134.0,53,81.0,,,,RPS,Great Path Academy
apps,10,39.0,15,24.0,,,,HPS,Great Path Academy
apps,11,19.0,,,,,,HPS,Great Path Academy
apps,12,11.0,,,,,,HPS,Great Path Academy
apps,6,229.0,132,97.0,,,,HPS,HMTCA - (Grades 6-12)
apps,7,104.0,62,42.0,,,,HPS,HMTCA - (Grades 6-12)
apps,8,62.0,37,25.0,,,,HPS,HMTCA - (Grades 6-12)
