operator,school,grade,n_apps,n_apps_hartford,n_apps_suburban,n_offers,n_offers_hartford,n_offers_suburban
HPS,Environmental Sciences @ Mary M. Hooker,3,39.0,21.0,18.0,7,7,
HPS,Environmental Sciences @ Mary M. Hooker,4,43.0,31.0,12.0,14,,
HPS,Environmental Sciences @ Mary M. Hooker,5,43.0,22.0,21.0,13,,
HPS,Environmental Sciences @ Mary M. Hooker,6,28.0,19.0,9.0,16,,
HPS,Environmental Sciences @ Mary M. Hooker,7,16.0,9.0,7.0,18,,
HPS,Environmental Sciences @ Mary M. Hooker,8,7.0,,,,,
HPS,Environmental Sciences @ Mary M. Hooker,K,49.0,23.0,26.0,19,12,
HPS,Environmental Sciences @ Mary M. Hooker,PK4,101.0,40.0,61.0,64,33,
HPS,Great Path Academy,10,39.0,15.0,24.0,33,15,
HPS,Great Path Academy,11,19.0,,,11,,
HPS,Great Path Academy,12,11.0,,,,,
HPS,Great Path Academy,9,,,,146,79,
HPS,HMTCA - (Grades 6-12),10,39.0,24.0,15.0,,,
HPS,HMTCA - (Grades 6-12),11,35.0,26.0,9.0,,,
HPS,HMTCA - (Grades 6-12),12,9.0,,,,,
HPS,HMTCA - (Grades 6-12),6,229.0,132.0,97.0,171,83,
HPS,HMTCA - (Grades 6-12),7,104.0,62.0,42.0,42,26,
HPS,HMTCA - (Grades 6-12),8,62.0,37.0,25.0,21,,
HPS,HMTCA - (Grades 6-12),9,179.0,118.0,61.0,17,6,
HPS,HMTCA - (Grades 6-8),6,25.0,7.0,18.0,71,24,
HPS,HMTCA - (Grades 6-8),7,10.0,,,35,22,
HPS,HMTCA - (Grades 6-8),8,,,,7,,
HPS,Hartford PreKindergarten Magnet,PK3,144.0,65.0,79.0,102,47,55
HPS,Hartford PreKindergarten Magnet,PK4,76.0,35.0,41.0,73,29,44
HPS,Montessori Magnet at Annie Fisher,1,30.0,9.0,21.0,,,
HPS,Montessori Magnet at Annie Fisher,2,18.0,11.0,7.0,,,
HPS,Montessori Magnet at Annie Fisher,3,24.0,13.0,11.0,,,
HPS,Montessori Magnet at Annie Fisher,4,24.0,10.0,14.0,,,
HPS,Montessori Magnet at Annie Fisher,5,12.0,,,,,
HPS,Montessori Magnet at Annie Fisher,6,27.0,10.0,17.0,,,
HPS,Montessori Magnet at Annie Fisher,7,10.0,,,8,,
HPS,Montessori Magnet at Annie Fisher,8,7.0,,,,,
HPS,Montessori Magnet at Annie Fisher,K,53.0,26.0,27.0,,,
HPS,Montessori Magnet at Annie Fisher,PK3,83.0,26.0,57.0,74,44,30
HPS,Montessori Magnet at Annie Fisher,PK4,56.0,18.0,38.0,22,14,8
HPS,Montessori Magnet at Moylan,1,19.0,6.0,13.0,13,,
HPS,Montessori Magnet at Moylan,2,18.0,10.0,8.0,,,
HPS,Montessori Magnet at Moylan,3,12.0,6.0,6.0,,,
HPS,Montessori Magnet at Moylan,4,,,,,,
HPS,Montessori Magnet at Moylan,5,,,,,,
HPS,Montessori Magnet at Moylan,6,,,,,,
HPS,Montessori Magnet at Moylan,K,40.0,23.0,17.0,,,
HPS,Montessori Magnet at Moylan,PK3,63.0,27.0,36.0,78,32,46
HPS,Montessori Magnet at Moylan,PK4,28.0,17.0,11.0,,,
HPS,Noah Webster MicroSociety Magnet,1,26.0,19.0,7.0,14,,14
HPS,Noah Webster MicroSociety Magnet,2,24.0,13.0,11.0,17,,
HPS,Noah Webster MicroSociety Magnet,3,20.0,11.0,9.0,,,
HPS,Noah Webster MicroSociety Magnet,4,30.0,21.0,9.0,,,
HPS,Noah Webster MicroSociety Magnet,5,29.0,13.0,16.0,,,
HPS,Noah Webster MicroSociety Magnet,6,9.0,,,15,,15
HPS,Noah Webster MicroSociety Magnet,7,14.0,6.0,8.0,,,
HPS,Noah Webster MicroSociety Magnet,8,,,,,,
HPS,Noah Webster MicroSociety Magnet,K,54.0,27.0,27.0,48,14,34
HPS,Noah Webster MicroSociety Magnet,PK3,121.0,58.0,63.0,56,17,39
HPS,Noah Webster MicroSociety Magnet,PK4,61.0,27.0,34.0,22,9,13
HPS,Pathways Academy of Technology and Design,10,31.0,13.0,18.0,18,6,12
HPS,Pathways Academy of Technology and Design,11,37.0,11.0,26.0,,,
HPS,Pathways Academy of Technology and Design,12,13.0,6.0,7.0,,,
HPS,Pathways Academy of Technology and Design,9,217.0,101.0,116.0,160,68,92
HPS,R.J. Kinsella Magnet School of the Performing Arts,1,49.0,28.0,21.0,10,,10
HPS,R.J. Kinsella Magnet School of the Performing Arts,10,17.0,7.0,10.0,6,,6
HPS,R.J. Kinsella Magnet School of the Performing Arts,11,6.0,,,,,
HPS,R.J. Kinsella Magnet School of the Performing Arts,12,,,,,,
HPS,R.J. Kinsella Magnet School of the Performing Arts,2,52.0,28.0,24.0,6,,6
HPS,R.J. Kinsella Magnet School of the Performing Arts,3,66.0,41.0,25.0,9,,
HPS,R.J. Kinsella Magnet School of the Performing Arts,4,59.0,28.0,31.0,12,,
HPS,R.J. Kinsella Magnet School of the Performing Arts,5,78.0,34.0,44.0,21,,
HPS,R.J. Kinsella Magnet School of the Performing Arts,6,61.0,24.0,37.0,30,,
HPS,R.J. Kinsella Magnet School of the Performing Arts,7,38.0,22.0,16.0,18,,18
HPS,R.J. Kinsella Magnet School of the Performing Arts,8,20.0,11.0,9.0,22,,
HPS,R.J. Kinsella Magnet School of the Performing Arts,9,43.0,29.0,14.0,35,10,25
HPS,R.J. Kinsella Magnet School of the Performing Arts,K,88.0,51.0,37.0,28,,
HPS,R.J. Kinsella Magnet School of the Performing Arts,PK4,94.0,27.0,67.0,66,25,41
HPS,STEM Magnet at Annie Fisher,1,53.0,10.0,43.0,IO,,
HPS,STEM Magnet at Annie Fisher,2,43.0,8.0,35.0,,,
HPS,STEM Magnet at Annie Fisher,3,39.0,10.0,29.0,7,,
HPS,STEM Magnet at Annie Fisher,4,34.0,13.0,21.0,,,
HPS,STEM Magnet at Annie Fisher,5,34.0,12.0,22.0,,,
HPS,STEM Magnet at Annie Fisher,6,21.0,7.0,14.0,,,
HPS,STEM Magnet at Annie Fisher,7,10.0,,,,,
HPS,STEM Magnet at Annie Fisher,8,7.0,,,8,,
HPS,STEM Magnet at Annie Fisher,K,101.0,38.0,63.0,49,27,22
HPS,Sport and Medical Sciences Academy,10,43.0,23.0,20.0,52,11,41
HPS,Sport and Medical Sciences Academy,11,33.0,19.0,14.0,39,11,28
HPS,Sport and Medical Sciences Academy,12,,,,,,
HPS,Sport and Medical Sciences Academy,6,141.0,78.0,63.0,123,53,70
HPS,Sport and Medical Sciences Academy,7,57.0,18.0,39.0,,,
HPS,Sport and Medical Sciences Academy,8,79.0,28.0,51.0,15,,
HPS,Sport and Medical Sciences Academy,9,194.0,123.0,71.0,87,15,72
HPS,University High School of Science and Engineering,10,39.0,15.0,24.0,17,7,IO
HPS,University High School of Science and Engineering,11,31.0,10.0,21.0,,,
HPS,University High School of Science and Engineering,12,,,,,,
HPS,University High School of Science and Engineering,9,200.0,97.0,103.0,183,97,86
RPS,Capital Prep - Upper School Program,11,13.0,,,,,
RPS,Capital Prep - Upper School Program,7,40.0,24.0,16.0,,,
RPS,Classical Magnet,10,9.0,,,,,
RPS,Great Path Academy,9,134.0,53.0,81.0,,,
RPS,STEM Magnet at Annie Fisher,4,,,,,,
RPS,STEM Magnet at Annie Fisher,7,,,,,,
RPS,Sport and Medical Sciences Academy,7,,,,12,,12
